"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Update course","LMS service","Wed May 13 09:25:32 UTC 2026","passed","Wed May 13 09:25:32 UTC 2026","Update entity","Courses","",""
"","17","Get exercise","LMS service","Wed May 13 09:25:35 UTC 2026","passed","Wed May 13 09:25:35 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Wed May 13 09:25:41 UTC 2026","passed","Wed May 13 09:25:41 UTC 2026","Get entity","Users","",""
"","265","Create file with empty directory","LMS service","Wed May 13 09:25:38 UTC 2026","passed","Wed May 13 09:25:39 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Wed May 13 09:25:37 UTC 2026","passed","Wed May 13 09:25:37 UTC 2026","Get entity","Files","",""
"","18","Get exercises","LMS service","Wed May 13 09:25:36 UTC 2026","passed","Wed May 13 09:25:36 UTC 2026","Get entities","Exercises","",""
"","524","Create user","LMS service","Wed May 13 09:25:40 UTC 2026","passed","Wed May 13 09:25:40 UTC 2026","Create entity","Users","",""
"","27","Get courses","LMS service","Wed May 13 09:25:33 UTC 2026","passed","Wed May 13 09:25:33 UTC 2026","Get entities","Courses","",""
"","22","Create exercise","LMS service","Wed May 13 09:25:34 UTC 2026","passed","Wed May 13 09:25:34 UTC 2026","Create entity","Exercises","",""
"","291","Update exercise","LMS service","Wed May 13 09:25:34 UTC 2026","passed","Wed May 13 09:25:35 UTC 2026","Update entity","Exercises","",""
"","526","Create user","LMS service","Wed May 13 09:25:40 UTC 2026","passed","Wed May 13 09:25:40 UTC 2026","Create entity","Users","",""
"","291","Delete file","LMS service","Wed May 13 09:25:39 UTC 2026","passed","Wed May 13 09:25:39 UTC 2026","Delete entity","Files","",""
"","19","Delete exercise","LMS service","Wed May 13 09:25:36 UTC 2026","passed","Wed May 13 09:25:36 UTC 2026","Delete entity","Exercises","",""
"","268","Create file with empty filename","LMS service","Wed May 13 09:25:38 UTC 2026","passed","Wed May 13 09:25:38 UTC 2026","Validate entity","Files","",""
"","17","Get file with incorrect file id","LMS service","Wed May 13 09:25:39 UTC 2026","passed","Wed May 13 09:25:39 UTC 2026","Validate entity","Files","",""
"","267","Create file","LMS service","Wed May 13 09:25:37 UTC 2026","passed","Wed May 13 09:25:37 UTC 2026","Create entity","Files","",""
"","298","Create user","LMS service","Wed May 13 09:25:39 UTC 2026","passed","Wed May 13 09:25:40 UTC 2026","Create entity","Users","",""
"","555","Login with correct email and password","LMS service","Wed May 13 09:25:31 UTC 2026","passed","Wed May 13 09:25:32 UTC 2026","Login","Authentication","",""
"","29","Create course","LMS service","Wed May 13 09:25:33 UTC 2026","passed","Wed May 13 09:25:33 UTC 2026","Create entity","Courses","",""
